bulk_symbols,structure
Pt2 O2,"Full Formula (Pt2 O2)
Reduced Formula: PtO
abc   :   3.158604   3.158604   5.358894
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (4)
  #  SP      a    b     c    magmom
---  ----  ---  ---  ----  --------
  0  Pt    0    0.5  0.5         -0
  1  Pt    0.5  0    0           -0
  2  O     0    0    0.75         0
  3  O     0    0    0.25         0"
Ba1 Zn1 O3,"Full Formula (Ba1 Zn1 O3)
Reduced Formula: BaZnO3
abc   :   4.114960   4.114960   4.114960
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (5)
  #  SP      a    b    c    magmom
---  ----  ---  ---  ---  --------
  0  Ba    0    0    0      -0.01
  1  Zn    0.5  0.5  0.5     0.087
  2  O     0.5  0.5  0       0.335
  3  O     0.5  0    0.5     0.505
  4  O     0    0.5  0.5     0.547"
Li7 Sb1 O6,"Full Formula (Li7 Sb1 O6)
Reduced Formula: Li7SbO6
abc   :   5.321162   5.382131   5.797272
angles:  63.581274  64.335044  60.850302
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Li    0.105046  0.738646  0.620176        -0
  1  Li    0.476536  0.147274  0.617272        -0
  2  Li    0.347566  0.347853  0.991856        -0
  3  Li    0.620105  0.638951  0.053784        -0
  4  Li    0.497602  0.898822  0.370969        -0
  5  Li    0.912756  0.240646  0.354306         0
  6  Li    0.79375   0.50029   0.623882         0
  7  Sb    0.005022  0.986467  0.00566          0
  8  O     0.087546  0.363877  0.792118         0
  9  O     0.235096  0.914616  0.237281        -0
 10  O     0.631236  0.218546  0.232519         0
 11  O     0.383184  0.764911  0.766078         0
 12  O     0.783621  0.096539  0.744975        -0
 13  O     0.891835  0.631559  0.231822        -0"
V2 Mo2 O10,"Full Formula (V2 Mo2 O10)
Reduced Formula: VMoO5
abc   :   4.199908   6.584780   6.584685
angles:  89.999982  89.999429  90.000065
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  V     0.839764  0.249996  0.250006     0.973
  1  V     0.160056  0.750002  0.749995     0.973
  2  Mo    0.500073  0.25      0.750003     0.102
  3  Mo    0.500063  0.749998  0.249995     0.102
  4  O     0.740103  0.199441  0.963855    -0.004
  5  O     0.740108  0.536144  0.199447    -0.004
  6  O     0.740104  0.963849  0.300563    -0.004
  7  O     0.740114  0.300553  0.536153    -0.004
  8  O     0.225892  0.249998  0.250003    -0.118
  9  O     0.773956  0.750004  0.749995    -0.118
 10  O     0.259943  0.699422  0.463787    -0.004
 11  O     0.259944  0.036213  0.699412    -0.004
 12  O     0.259942  0.463789  0.800578    -0.004
 13  O     0.259939  0.800587  0.036209    -0.004"
K12 Y2 O8,"Full Formula (K12 Y2 O8)
Reduced Formula: K6YO4
abc   :   9.395267   9.395267   6.714661
angles:  90.000000  90.000000 120.000006
pbc   :       True       True       True
Sites (22)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  K     0.132207  0.867793  0.995103     0.004
  1  K     0.083847  0.541923  0.313746    -0
  2  K     0.458077  0.916153  0.313746    -0
  3  K     0.132207  0.264413  0.995103     0.004
  4  K     0.458077  0.541923  0.313746    -0
  5  K     0.264413  0.132207  0.495103    -0.004
  6  K     0.735587  0.867793  0.995103     0.004
  7  K     0.541923  0.458077  0.813746     0
  8  K     0.541923  0.083847  0.813746     0
  9  K     0.867793  0.735587  0.495103    -0.004
 10  K     0.916153  0.458077  0.813746     0
 11  K     0.867793  0.132207  0.495103    -0.004
 12  Y     0.333333  0.666667  0.730822     0.001
 13  Y     0.666667  0.333333  0.230822    -0.001
 14  O     0.209448  0.790552  0.611697     0.001
 15  O     0.333333  0.666667  0.053652    -0.001
 16  O     0.209448  0.418896  0.611697     0.001
 17  O     0.581104  0.790552  0.611697     0.001
 18  O     0.418896  0.209448  0.111697    -0.001
 19  O     0.790552  0.581104  0.111697    -0.001
 20  O     0.666667  0.333333  0.553652     0.001
 21  O     0.790552  0.209448  0.111697    -0.001"
Ti3 Cu1 O8,"Full Formula (Ti3 Cu1 O8)
Reduced Formula: Ti3CuO8
abc   :   3.808163   3.808163   9.584917
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (12)
  #  SP      a    b         c    magmom
---  ----  ---  ---  --------  --------
  0  Ti    0.5  0.5  0               -0
  1  Ti    0.5  0    0.254153         0
  2  Ti    0    0.5  0.745847         0
  3  Cu    0    0    0.5              0
  4  O     0.5  0.5  0.208703        -0
  5  O     0    0    0.698984         0
  6  O     0.5  0    0.45865          0
  7  O     0    0.5  0.957585         0
  8  O     0    0.5  0.54135          0
  9  O     0.5  0    0.042415         0
 10  O     0    0    0.301016         0
 11  O     0.5  0.5  0.791297        -0"
Ga32 O48,"Full Formula (Ga4 O6)
Reduced Formula: Ga2O3
abc   :   3.047567   5.817410   6.326486
angles: 103.351509 103.937176  89.999998
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ga    0.658838  0.31473   0.317677         0
  1  Ga    0.341162  0.68527   0.682323         0
  2  Ga    0.090473  0.794786  0.180949         0
  3  Ga    0.909527  0.205214  0.819051         0
  4  O     0.496469  0.256664  0.992938        -0
  5  O     0.503531  0.743336  0.007062        -0
  6  O     0.173371  0.56323   0.346742        -0
  7  O     0.826629  0.43677   0.653258        -0
  8  O     0.835496  0.890846  0.67099         -0
  9  O     0.164504  0.109154  0.32901         -0"
K1 Ag1 O2,"Full Formula (K2 Ag2 O4)
Reduced Formula: KAgO2
abc   :   4.149980   5.926466   6.412885
angles:  90.000000  71.121285  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  K     0.291511  0.25      0.416978         0
  1  K     0.708489  0.75      0.583022         0
  2  Ag    0.002992  0.25      0.994015        -0
  3  Ag    0.997008  0.75      0.005985        -0
  4  O     0.110831  0.993908  0.778338         0
  5  O     0.889169  0.493908  0.221662         0
  6  O     0.110831  0.506092  0.778338         0
  7  O     0.889169  0.006092  0.221662         0"
Na16 Mg4 O12,"Full Formula (Na8 Mg2 O6)
Reduced Formula: Na4MgO3
abc   :   6.332777   6.332777   8.114190
angles:  70.299705  70.299705  55.940728
pbc   :       True       True       True
Sites (16)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Na    0.485916  0.921735  0.839005        -0
  1  Na    0.921735  0.485916  0.339005        -0
  2  Na    0.268126  0.971833  0.538025        -0
  3  Na    0.031155  0.732609  0.931827        -0
  4  Na    0.971833  0.268126  0.038025        -0
  5  Na    0.732609  0.031155  0.431827        -0
  6  Na    0.120954  0.448265  0.637569        -0
  7  Na    0.448265  0.120954  0.137569        -0
  8  Mg    0.663293  0.380558  0.752744        -0
  9  Mg    0.380558  0.663293  0.252744        -0
 10  O     0.678922  0.685872  0.602103         0
 11  O     0.685872  0.678922  0.102103         0
 12  O     0.358564  0.346645  0.847741         0
 13  O     0.346645  0.358564  0.347741         0
 14  O     0.006301  0.114131  0.803356         0
 15  O     0.114131  0.006301  0.303356         0"
Mn4 Sb8 O16,"Full Formula (Mn4 Sb8 O16)
Reduced Formula: Mn(SbO2)2
abc   :   6.012481   8.684490   8.684490
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP        a          b         c    magmom
---  ----  -----  ---------  --------  --------
  0  Mn     0.75   0.5       0            4.501
  1  Mn     0.75  -0         0.5          4.501
  2  Mn     0.25  -0         0.5          4.501
  3  Mn     0.25   0.5       0            4.501
  4  Sb     0      0.821455  0.833227     0.021
  5  Sb     0.5    0.166773  0.821455     0.021
  6  Sb     0.5    0.833227  0.178545     0.021
  7  Sb    -0      0.178545  0.166773     0.021
  8  Sb    -0      0.678545  0.333227     0.021
  9  Sb     0      0.321455  0.666773     0.021
 10  Sb     0.5    0.666773  0.678545     0.021
 11  Sb     0.5    0.333227  0.321455     0.021
 12  O      0.5    0.855091  0.401729     0.066
 13  O      0.5    0.144909  0.598271     0.066
 14  O     -0      0.401729  0.144909     0.066
 15  O      0      0.598271  0.855091     0.066
 16  O     -0      0.901729  0.355091     0.066
 17  O      0.5    0.644909  0.901729     0.066
 18  O      0.5    0.355091  0.098271     0.066
 19  O      0      0.098271  0.644909     0.066
 20  O      0.75   0.679223  0.179223     0.03
 21  O      0.25   0.820777  0.679223     0.03
 22  O      0.25   0.179223  0.320777     0.03
 23  O      0.75   0.320777  0.820777     0.03
 24  O      0.25   0.679223  0.179223     0.03
 25  O      0.75   0.820777  0.679223     0.03
 26  O      0.75   0.179223  0.320777     0.03
 27  O      0.25   0.320777  0.820777     0.03"
Sn2 O4,"Full Formula (Sn2 O4)
Reduced Formula: SnO2
abc   :   3.207500   4.763836   4.765800
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (6)
  #  SP       a          b         c    magmom
---  ----  ----  ---------  --------  --------
  0  Sn     0.5   0.5       0.5             -0
  1  Sn     0    -0         0               -0
  2  O      0.5   0.194216  0.806161         0
  3  O      0.5   0.805784  0.193839         0
  4  O     -0     0.305784  0.306161         0
  5  O     -0     0.694216  0.693839         0"
Hg3 O3,"Full Formula (Hg4 O4)
Reduced Formula: HgO
abc   :   3.585091   5.564206   6.696061
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP           a     b         c    magmom
---  ----  --------  ----  --------  --------
  0  Hg    0.746156  0.75  0.384979        -0
  1  Hg    0.246156  0.25  0.11502         -0
  2  Hg    0.253844  0.25  0.615021        -0
  3  Hg    0.753844  0.75  0.884979        -0
  4  O     0.082459  0.75  0.136854         0
  5  O     0.582459  0.25  0.363146         0
  6  O     0.917541  0.25  0.863146         0
  7  O     0.417541  0.75  0.636854         0"
Ca4 Bi4 O12,"Full Formula (Ca4 Bi4 O12)
Reduced Formula: CaBiO3
abc   :   5.758311   6.025545   8.330347
angles:  90.000000  90.105981  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Ca     0.018202  0.940996  0.747737         0
  1  Ca     0.481798  0.440996  0.752263         0
  2  Ca     0.518202  0.559004  0.247737         0
  3  Ca     0.981798  0.059004  0.252263         0
  4  Bi    -0         0.5       0.5              0
  5  Bi    -0         0.5       0                0
  6  Bi     0.5       0         0.5              0
  7  Bi     0.5       0         0                0
  8  O      0.133327  0.433578  0.236137         0
  9  O      0.176847  0.206979  0.923932         0
 10  O      0.202015  0.184061  0.565683        -0
 11  O      0.297985  0.684061  0.934317        -0
 12  O      0.323153  0.706979  0.576067         0
 13  O      0.366673  0.933578  0.263863         0
 14  O      0.633327  0.066422  0.736137         0
 15  O      0.676847  0.293021  0.423932         0
 16  O      0.702015  0.315939  0.065683        -0
 17  O      0.797985  0.815939  0.434317        -0
 18  O      0.823153  0.793021  0.076067         0
 19  O      0.866673  0.566422  0.763863         0"
Ba8 Ga16 O32,"Full Formula (Ba8 Ga16 O32)
Reduced Formula: Ba(GaO2)2
abc   :  10.860387  10.860387   9.001932
angles:  90.000000  90.000000 120.000004
pbc   :       True       True       True
Sites (56)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ba    0.495754  0.515921  0.224582         0
  1  Ba    0.020167  0.504246  0.224582         0
  2  Ba    0.484079  0.979833  0.224582         0
  3  Ba    0.504246  0.484079  0.724582         0
  4  Ba    0.979833  0.495754  0.724582         0
  5  Ba    0.515921  0.020167  0.724582         0
  6  Ba    0         0         0.236692         0
  7  Ba    0         0         0.736692         0
  8  Ga    0.846712  0.173226  0.027358         0
  9  Ga    0.326514  0.153288  0.027358         0
 10  Ga    0.826774  0.673486  0.027358         0
 11  Ga    0.153288  0.826774  0.527358         0
 12  Ga    0.673486  0.846712  0.527358         0
 13  Ga    0.173226  0.326514  0.527358         0
 14  Ga    0.844422  0.17402   0.41618          0
 15  Ga    0.329599  0.155578  0.41618          0
 16  Ga    0.82598   0.670401  0.41618          0
 17  Ga    0.155578  0.82598   0.91618          0
 18  Ga    0.670401  0.844422  0.91618          0
 19  Ga    0.17402   0.329599  0.91618          0
 20  Ga    0.666667  0.333333  0.942148         0
 21  Ga    0.333333  0.666667  0.442148         0
 22  Ga    0.666667  0.333333  0.521703        -0
 23  Ga    0.333333  0.666667  0.021703        -0
 24  O     0.677384  0.676908  0.924752        -0
 25  O     0.999523  0.322616  0.924752        -0
 26  O     0.323092  0.000477  0.924752        -0
 27  O     0.322616  0.323092  0.424752        -0
 28  O     0.000477  0.677384  0.424752        -0
 29  O     0.676908  0.999523  0.424752        -0
 30  O     0.331626  0.500633  0.972964        -0
 31  O     0.169007  0.668374  0.972964        -0
 32  O     0.499367  0.830993  0.972964        -0
 33  O     0.668374  0.499367  0.472964        -0
 34  O     0.830993  0.331626  0.472964        -0
 35  O     0.500633  0.169007  0.472964        -0
 36  O     0.166648  0.171391  0.002942        -0
 37  O     0.004743  0.833352  0.002942        -0
 38  O     0.828609  0.995257  0.002942        -0
 39  O     0.833352  0.828609  0.502942        -0
 40  O     0.995257  0.166648  0.502942        -0
 41  O     0.171391  0.004743  0.502942        -0
 42  O     0.912029  0.220829  0.221491        -0
 43  O     0.3088    0.087971  0.221491        -0
 44  O     0.779171  0.6912    0.221491        -0
 45  O     0.087971  0.779171  0.721491        -0
 46  O     0.6912    0.912029  0.721491        -0
 47  O     0.220829  0.3088    0.721491        -0
 48  O     0.666667  0.333333  0.732492        -0
 49  O     0.333333  0.666667  0.232492        -0
 50  O     0.67533   0.171749  0.995055        -0
 51  O     0.496419  0.32467   0.995055        -0
 52  O     0.828251  0.503581  0.995055        -0
 53  O     0.32467   0.828251  0.495055        -0
 54  O     0.503581  0.67533   0.495055        -0
 55  O     0.171749  0.496419  0.495055        -0"
Re4 Bi1 O12,"Full Formula (Re4 Bi1 O12)
Reduced Formula: Re4BiO12
abc   :   4.592630   6.174454  13.154067
angles:  82.791137  71.078093  66.109770
pbc   :       True       True       True
Sites (17)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Re    0.048422  0.989673  0.312949     0.004
  1  Re    0.043615  0.034659  0.813241     0.012
  2  Re    0.886106  0.897077  0.173664     0.001
  3  Re    0.895332  0.971679  0.647734     0.073
  4  Bi    0.518551  0.577505  0.482195     0.003
  5  O     0.161766  0.700778  0.380708     0.001
  6  O     0.299335  0.954858  0.54801      0.019
  7  O     0.409588  0.06554   0.234097     0.002
  8  O     0.492905  0.926306  0.748035    -0
  9  O     0.679313  0.206496  0.393239     0
 10  O     0.076847  0.022132  0.059955     0
 11  O     0.144758  0.562155  0.158272     0
 12  O     0.795762  0.600966  0.223671     0.001
 13  O     0.897577  0.856534  0.910116     0.007
 14  O     0.652461  0.260846  0.616913    -0.002
 15  O     0.026867  0.655987  0.607748     0.002
 16  O     0.838798  0.33681   0.832454     0.006"
Al16 Cd8 O32,"Full Formula (Al4 Cd2 O8)
Reduced Formula: Al2CdO4
abc   :   5.994396   5.994396   5.994396
angles:  60.000000  60.000000  60.000000
pbc   :       True       True       True
Sites (14)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Al    0.625     0.125     0.125            0
  1  Al    0.125     0.625     0.125            0
  2  Al    0.125     0.125     0.625            0
  3  Al    0.125     0.125     0.125            0
  4  Cd    0.5       0.5       0.5             -0
  5  Cd    0.75      0.75      0.75            -0
  6  O     0.936353  0.354549  0.354549         0
  7  O     0.354549  0.936353  0.354549         0
  8  O     0.354549  0.354549  0.936353         0
  9  O     0.354549  0.354549  0.354549         0
 10  O     0.313647  0.895451  0.895451         0
 11  O     0.895451  0.313647  0.895451         0
 12  O     0.895451  0.895451  0.313647         0
 13  O     0.895451  0.895451  0.895451         0"
Mg4 Mo6 O16,"Full Formula (Mg4 Mo6 O16)
Reduced Formula: Mg2Mo3O8
abc   :   5.754994   5.754994  10.341687
angles:  90.000000  90.000000 119.999994
pbc   :       True       True       True
Sites (26)
  #  SP            a          b         c    magmom
---  ----  ---------  ---------  --------  --------
  0  Mg     0.666667   0.333333  0.576925        -0
  1  Mg     0.333333   0.666667  0.076925        -0
  2  Mg     0.666667   0.333333  0.972165        -0
  3  Mg     0.333333   0.666667  0.472165        -0
  4  Mo     0.364964   0.182482  0.257066         0
  5  Mo     0.817518   0.635036  0.257066         0
  6  Mo     0.817518   0.182482  0.257066         0
  7  Mo     0.635036   0.817518  0.757066         0
  8  Mo     0.182482   0.364964  0.757066         0
  9  Mo     0.182482   0.817518  0.757066         0
 10  O     -0         -0         0.160421        -0
 11  O     -0         -0         0.660421        -0
 12  O      0.666667   0.333333  0.394416        -0
 13  O      0.333333   0.666667  0.894416        -0
 14  O      0.967106   0.483553  0.126215         0
 15  O      0.516447   0.032894  0.126215         0
 16  O      0.516447   0.483553  0.126215         0
 17  O      0.032894   0.516447  0.626215         0
 18  O      0.483553   0.967106  0.626215         0
 19  O      0.483553   0.516447  0.626215         0
 20  O      0.337826   0.168913  0.850027        -0
 21  O      0.831087   0.662174  0.850027        -0
 22  O      0.831087   0.168913  0.850027        -0
 23  O      0.662174   0.831087  0.350027        -0
 24  O      0.168913   0.337826  0.350027        -0
 25  O      0.168913   0.831087  0.350027        -0"
Ca1 Os1 O3,"Full Formula (Ca4 Os4 O12)
Reduced Formula: CaOsO3
abc   :   5.389272   5.638784   7.759873
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Ca    0.016307  0.439017  0.25         0.002
  1  Ca    0.983693  0.560983  0.75         0.002
  2  Ca    0.516307  0.060983  0.75         0.002
  3  Ca    0.483693  0.939017  0.25         0.002
  4  Os    0         0         0            0.438
  5  Os    0.5       0.5       0            0.438
  6  Os    0         0         0.5          0.438
  7  Os    0.5       0.5       0.5          0.438
  8  O     0.306102  0.19897   0.051165     0.042
  9  O     0.693898  0.80103   0.948835     0.042
 10  O     0.806102  0.30103   0.948835     0.042
 11  O     0.693898  0.80103   0.551165     0.042
 12  O     0.193898  0.69897   0.051165     0.042
 13  O     0.306102  0.19897   0.448835     0.042
 14  O     0.193898  0.69897   0.448835     0.042
 15  O     0.806102  0.30103   0.551165     0.042
 16  O     0.602747  0.532362  0.25         0.029
 17  O     0.397253  0.467638  0.75         0.029
 18  O     0.102747  0.967638  0.75         0.029
 19  O     0.897253  0.032362  0.25         0.029"
In1 Pd1 O4,
Ag2 Hg2 O4,"Full Formula (Ag2 Hg2 O4)
Reduced Formula: AgHgO2
abc   :   4.067500   5.459380   5.943710
angles:  92.113584  95.112602  90.528186
pbc   :       True       True       True
Sites (8)
  #  SP          a        b        c    magmom
---  ----  -------  -------  -------  --------
  0  Ag    0.5      0        0              -0
  1  Ag    0.5      0.5      0.5            -0
  2  Hg    0        0        0.5             0
  3  Hg    0        0.5      0               0
  4  O     0.70177  0.71638  0.79078        -0
  5  O     0.66087  0.78811  0.29347        -0
  6  O     0.29823  0.28362  0.20922        -0
  7  O     0.33913  0.21189  0.70653        -0"
Co2 Re4 O16,"Full Formula (Co2 Re4 O16)
Reduced Formula: Co(ReO4)2
abc   :   5.696863   9.886688   6.267704
angles:  90.046275  89.885292  89.774127
pbc   :       True       True       True
Sites (22)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Co     0.499999  0.5       2.6e-05      2.704
  1  Co    -1.7e-05   7e-06     0.999983     2.703
  2  Re     0.000679  0.333305  0.278471     0.035
  3  Re     0.499098  0.833083  0.278807     0.034
  4  Re     0.500891  0.166917  0.721194     0.034
  5  Re    -0.000665  0.666693  0.721526     0.035
  6  O      0.502219  0.1675    0.445888     0.003
  7  O     -1.7e-05   0.665266  0.446158     0.002
  8  O      2.3e-05   0.334723  0.553838     0.002
  9  O      0.497774  0.832502  0.554112     0.003
 10  O      0.746776  0.079184  0.814487     0.037
 11  O      0.246496  0.58115   0.816458     0.036
 12  O      0.9962    0.166556  0.18685      0.031
 13  O      0.492573  0.666906  0.184894     0.036
 14  O      0.253381  0.41287   0.184432     0.037
 15  O      0.753439  0.91191   0.186685     0.03
 16  O      0.753509  0.418844  0.18354      0.036
 17  O      0.25321   0.920811  0.185515     0.037
 18  O      0.507427  0.333092  0.815111     0.036
 19  O      0.00383   0.833446  0.813133     0.031
 20  O      0.246534  0.088104  0.813308     0.03
 21  O      0.74664   0.58713   0.815583     0.037"
Pt6 O8,"Full Formula (Pt6 O8)
Reduced Formula: Pt3O4
abc   :   5.602647   5.602676   5.602633
angles:  89.999994  90.000008  89.999984
pbc   :       True       True       True
Sites (14)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Pt     0.5       0.250001  5e-06           -0
  1  Pt     0.5       0.749999  5e-06           -0
  2  Pt    -1e-06     0.499997  0.749997        -0
  3  Pt     0.999998  0.499996  0.250003        -0
  4  Pt     0.750007  3e-06     0.499995        -0
  5  Pt     0.249998  3e-06     0.499995        -0
  6  O      0.750003  0.249999  0.250002        -0
  7  O      0.249999  0.249999  0.749997        -0
  8  O      0.249995  0.749999  0.250003        -0
  9  O      0.750003  0.750002  0.749996        -0
 10  O      0.249998  0.750001  0.749997        -0
 11  O      0.750004  0.750001  0.250003        -0
 12  O      0.249997  0.250001  0.250003        -0
 13  O      0.750002  0.249998  0.749998        -0"
Cs8 Ru4 O16,"Full Formula (Cs8 Ru4 O16)
Reduced Formula: Cs2RuO4
abc   :   6.470803   8.512850  11.489549
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Cs    0.25      0.662997  0.584611     0.003
  1  Cs    0.75      0.337003  0.415389     0.003
  2  Cs    0.25      0.162997  0.915389     0.003
  3  Cs    0.75      0.837003  0.084611     0.003
  4  Cs    0.75      0.008653  0.703824     0.002
  5  Cs    0.25      0.991347  0.296176     0.002
  6  Cs    0.75      0.508653  0.796176     0.002
  7  Cs    0.25      0.491347  0.203824     0.002
  8  Ru    0.75      0.276199  0.079128     1.1
  9  Ru    0.25      0.723801  0.920872     1.1
 10  Ru    0.75      0.776199  0.420872     1.1
 11  Ru    0.25      0.223801  0.579128     1.1
 12  O     0.973928  0.700776  0.35074      0.176
 13  O     0.473928  0.299224  0.64926      0.176
 14  O     0.526072  0.200776  0.14926      0.176
 15  O     0.026072  0.799224  0.85074      0.176
 16  O     0.026072  0.299224  0.64926      0.176
 17  O     0.526072  0.700776  0.35074      0.176
 18  O     0.473928  0.799224  0.85074      0.176
 19  O     0.973928  0.200776  0.14926      0.176
 20  O     0.25      0.016229  0.580402     0.175
 21  O     0.75      0.983771  0.419598     0.175
 22  O     0.25      0.516229  0.919598     0.175
 23  O     0.75      0.483771  0.080402     0.175
 24  O     0.75      0.20016   0.93432      0.183
 25  O     0.25      0.79984   0.06568      0.183
 26  O     0.75      0.70016   0.56568      0.183
 27  O     0.25      0.29984   0.43432      0.183"
Sr1 Mg3 O4,"Full Formula (Sr1 Mg3 O4)
Reduced Formula: SrMg3O4
abc   :   3.301496   3.301496   8.979608
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (8)
  #  SP      a    b         c    magmom
---  ----  ---  ---  --------  --------
  0  Sr    0    0    0               -0
  1  Mg    0.5  0.5  0.727653         0
  2  Mg    0    0    0.5              0
  3  Mg    0.5  0.5  0.272347         0
  4  O     0    0    0.274984        -0
  5  O     0.5  0.5  0               -0
  6  O     0    0    0.725016        -0
  7  O     0.5  0.5  0.5             -0"
Cs6 O3,"Full Formula (Cs2 O1)
Reduced Formula: Cs2O
abc   :   7.123018   7.123017   7.123018
angles:  34.275917  34.275937  34.275920
pbc   :       True       True       True
Sites (3)
  #  SP            a         b         c    magmom
---  ----  ---------  --------  --------  --------
  0  Cs     0.257881  0.257881  0.257881        -0
  1  Cs     0.742119  0.742119  0.742119        -0
  2  O     -0         0         0                0"
Y18 W3 O36,"Full Formula (Y6 W1 O12)
Reduced Formula: Y6WO12
abc   :   6.439761   6.439761   6.439761
angles:  98.673335  98.673335  98.673338
pbc   :       True       True       True
Sites (19)
  #  SP           a         b         c    magmom
---  ----  --------  --------  --------  --------
  0  Y     0.314455  0.143488  0.610124        -0
  1  Y     0.389876  0.685545  0.856512        -0
  2  Y     0.856512  0.389876  0.685545        -0
  3  Y     0.685545  0.856512  0.389876        -0
  4  Y     0.610124  0.314455  0.143488        -0
  5  Y     0.143488  0.610124  0.314455        -0
  6  W     0         0         0               -0
  7  O     0.176744  0.431231  0.59157          0
  8  O     0.59157   0.176744  0.431231         0
  9  O     0.431231  0.59157   0.176744         0
 10  O     0.823256  0.568769  0.40843          0
 11  O     0.40843   0.823256  0.568769         0
 12  O     0.568769  0.40843   0.823256         0
 13  O     0.923963  0.033426  0.704908         0
 14  O     0.966573  0.295092  0.076037         0
 15  O     0.295092  0.076037  0.966573         0
 16  O     0.076037  0.966573  0.295092         0
 17  O     0.033426  0.704908  0.923963         0
 18  O     0.704908  0.923963  0.033426         0"
Pd1 Rh1 O4,
Sn4 Pb8 O16,"Full Formula (Sn4 Pb8 O16)
Reduced Formula: Sn(PbO2)2
abc   :   8.801974   8.801974   6.358373
angles:  90.000000  90.000000  90.000000
pbc   :       True       True       True
Sites (28)
  #  SP            a          b      c    magmom
---  ----  ---------  ---------  -----  --------
  0  Sn    -0          0.5        0.75         0
  1  Sn     0.5       -0          0.25         0
  2  Sn    -0          0.5        0.25         0
  3  Sn     0.5       -0          0.75         0
  4  Pb     0.357524   0.661054  -0           -0
  5  Pb     0.642476   0.338946   0           -0
  6  Pb     0.142476   0.161054  -0           -0
  7  Pb     0.857524   0.838946   0           -0
  8  Pb     0.838946   0.142476   0.5         -0
  9  Pb     0.161054   0.857524   0.5         -0
 10  Pb     0.661054   0.642476   0.5         -0
 11  Pb     0.338946   0.357524   0.5         -0
 12  O      0.376078   0.09606    0.5          0
 13  O      0.623922   0.90394    0.5          0
 14  O      0.123922   0.59606    0.5          0
 15  O      0.876078   0.40394    0.5          0
 16  O      0.40394    0.123922  -0            0
 17  O      0.59606    0.876078   0            0
 18  O      0.09606    0.623922  -0            0
 19  O      0.90394    0.376078   0            0
 20  O      0.165284   0.334716   0.75        -0
 21  O      0.834716   0.665284   0.75        -0
 22  O      0.334716   0.834716   0.25        -0
 23  O      0.665284   0.165284   0.25        -0
 24  O      0.334716   0.834716   0.75        -0
 25  O      0.665284   0.165284   0.75        -0
 26  O      0.165284   0.334716   0.25        -0
 27  O      0.834716   0.665284   0.25        -0"
